Business Name,Category,Area (Nagpur),Instagram Handle,Follower Count,Last Post Date,Pain Score,Unique Detail,Status
Ruby Cloud Kitchen,cloud kitchen,"Mominpura, Nagpur",not found,not found,not found,8.0,limited info,WARM
Jubilee Bakery,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Sai Chanduram Bakery,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Icing on the Cake,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Kumar Bakery,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Vidarbha Bakery,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Popular Bread Factory,bakery,"Bagadganj, Nagpur",not found,not found,not found,7.9,limited info,WARM
Shankar Bakery,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Anaya Bakery 2.0,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Essence Bakery & Cafe,bakery,Nagpur,not found,not found,not found,7.9,limited info,WARM
Chai Villa,other,Nagpur,not found,not found,not found,7.9,limited info,WARM
Co.So Cocktails & Socials,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Tandoor Garden Restaurant,restaurant,"Wardha Road, Nagpur",not found,not found,not found,7.7,limited info,WARM
Rachel Coffee & Bakehouse,cafe,"Mihan, Nagpur",not found,not found,not found,7.7,limited info,WARM
Bellavista Cafe & Skybar,cafe,Nagpur,not found,not found,not found,7.7,limited info,WARM
Tipsy Turk,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Corner House,restaurant,"Bajaj Nagar, Nagpur",not found,not found,not found,7.7,limited info,WARM
Romeo Lane,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Rabdiwala Pure Veg Restaurant,restaurant,"Bhandara Road, Nagpur",not found,not found,not found,7.7,limited info,WARM
Ktas Cafe,cafe,Nagpur,not found,not found,not found,7.7,limited info,WARM
Crumble Bean,cafe,"Manish Nagar, Nagpur",not found,not found,not found,7.7,limited info,WARM
Wild Cup Roasters,cafe,"Pardi Road, Nagpur",not found,not found,not found,7.7,limited info,WARM
Fika The Coffee Break,cafe,"Prajapati Nagar, Nagpur",not found,not found,not found,7.7,limited info,WARM
Godwit Cafe,cafe,"Civil Lines, Nagpur",not found,not found,not found,7.7,limited info,WARM
Three Beans,cafe,Nagpur,not found,not found,not found,7.7,limited info,WARM
Coffee Script Cafe,cafe,Nagpur,not found,not found,not found,7.7,limited info,WARM
Doppio Cafe,cafe,Nagpur,not found,not found,not found,7.7,limited info,WARM
Collective Coffee House,cafe,Nagpur,not found,not found,not found,7.7,limited info,WARM
Corridor Seven Coffee Roasters,cafe,Nagpur,not found,not found,not found,7.7,limited info,WARM
The City Dhhaba,dhaba,Nagpur,not found,not found,not found,7.7,limited info,WARM
Nagpurs Dabbawala,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Thaat Baat,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Yash Restro,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Ganga Sagar,restaurant,"Manish Nagar, Nagpur",not found,not found,not found,7.7,limited info,WARM
TaamJhaam,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Tilt Kitchen & Bar,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Whistling Woods,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
Veeraswami,restaurant,Nagpur,not found,not found,not found,7.7,limited info,WARM
BFoodale,cloud kitchen,"Dharampeth, Nagpur",not found,not found,not found,7.4,limited info,WARM
The Cubic Meal,cloud kitchen,Nagpur,not found,not found,not found,7.4,limited info,WARM
Ajit Bakery,bakery,"Manish Nagar, Nagpur",not found,not found,not found,7.3,limited info,WARM
The Cloud Kitchen8,cloud kitchen,Nagpur,@the_cloud_kitchen8,not found,not found,6.9,limited info,WARM
The Thailicious,cloud kitchen,"Hingna T Point, Nagpur",@the_thailicious,not found,not found,6.9,limited info,WARM
Anand Bakery,bakery,Nagpur,@anand_bakery_,not found,not found,6.7,limited info,WARM
The Hippie Island,restaurant,"Kanhalgaon, Nagpur",@hippieisland_nagpur,not found,not found,6.6,limited info,WARM
Haldiram's Nagpur,restaurant,"Asi Nagar Road, Nagpur",not found,not found,not found,6.0,limited info,WARM
